mapping_id,cycle4_criterion,cycle4_title,cycle3_criterion,cycle3_title,section_types,raw_mapping_types,raw_group_ids,candidate_basis,title_similarity,manual_review_required,verification_status,confirmed_mapping_type,candidate_only_warning
map__c4_1_1__c3_1_1,1.1,교육목표 및 발전계획,1.1,교육목표 및 인재상,checkpoints;evidence;notes;overview;report,통합 (N:1),1,json_group_membership_unverified;same_criterion_number,0.588,false,candidate,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_1__c3_1_2,1.1,교육목표 및 발전계획,1.2,발전계획,checkpoints;evidence;notes;overview;report,통합 (N:1),1,json_group_membership_unverified,0.615,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_2__c3_1_3,1.2,거버넌스와 감사,1.3,거버넌스,checkpoints;evidence;notes;overview;report,통합 (N:1),2,json_group_membership_unverified,0.727,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_2__c3_1_6,1.2,거버넌스와 감사,1.6,감사,checkpoints;evidence;notes;overview;report,통합 (N:1),2,json_group_membership_unverified,0.444,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_3__c3_1_4,1.3,재정 확보 및 집행,1.4,재정 확보,checkpoints;evidence;notes;overview;report,통합 (N:1),3,json_group_membership_unverified,0.727,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_3__c3_1_5,1.3,재정 확보 및 집행,1.5,재정 집행,checkpoints;evidence;notes;overview;report,통합 (N:1),3,json_group_membership_unverified,0.727,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_4__c3_5_1,1.4,성과관리체계 구축 및 운영,5.1,성과관리,checkpoints;evidence;notes;overview;report,이동 (1:1);이동·확장 (1:1),4,json_group_membership_unverified,0.533,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_5__c3_1_1,1.5,교육성과,1.1,교육목표 및 인재상 (이동 항목),checkpoints,통합 (N:1),5,json_group_membership_unverified,0.250,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_5__c3_5_1,1.5,교육성과,5.1,성과관리 (이동 항목),checkpoints,통합 (N:1),5,json_group_membership_unverified,0.333,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_5__c3_5_2,1.5,교육성과,5.2,교육성과,checkpoints;evidence;notes;overview;report,이동·통합 (N:1);통합 (N:1),5,json_group_membership_unverified;near_exact_title_match,1.000,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_5__c3_5_4,1.5,교육성과,5.4,취·창업지원 및 성과,checkpoints;evidence;notes;overview;report,이동·통합 (N:1);통합 (N:1),5,json_group_membership_unverified,0.317,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_6__c3_5_5,1.6,사회공헌 및 지역사회 연계·협력,5.5,사회봉사,checkpoints;evidence;notes;overview;report,통합 (N:1);통합·이동 (N:1),6,json_group_membership_unverified,0.353,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_1_6__c3_5_6,1.6,사회공헌 및 지역사회 연계·협력,5.6,지역사회 연계·협력,checkpoints;evidence;notes;overview;report,통합 (N:1);통합·이동 (N:1),6,json_group_membership_unverified,0.762,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_2_1__c3_2_1,2.1,교육과정 체계,2.1,교육과정 체계,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1),7,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_2_2__c3_2_2,2.2,교양교육과정,2.2,교양교육과정,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1);유지·간소화 (1:1),8,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_2_3__c3_2_3,2.3,전공교육과정,2.3,전공교육과정,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1);유지·확장 (1:1),9,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_2_4__c3_2_4,2.4,학사관리,2.4,학사관리,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1),10,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_2_5__c3_2_5,2.5,수업,2.5,수업,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1);유지·확장 (1:1),11,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_2_6__c3_2_6,2.6,교수-학습 지원,2.6,교수-학습 지원,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1),12,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_3_1__c3_3_1,3.1,교원 확보 및 구성,3.1,교원 확보,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1);유지·확장 (1:1),13,json_group_membership_unverified;same_criterion_number,0.727,false,candidate,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_3_2__c3_3_2,3.2,교원 인사 및 업적평가,3.2,교원 인사 및 업적평가,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1),14,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_3_3__c3_3_3,3.3,교원 처우 및 복지,3.3,교원 처우 및 복지,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1),15,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_3_4__c3_3_4,3.4,교원의 연구활동 및 성과,3.4,교원의 교육 및 연구 활동 지원,checkpoints;evidence;notes;overview;report,통합 (N:1);통합·이동 (N:1),16,json_group_membership_unverified;same_criterion_number,0.636,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_3_4__c3_5_3,3.4,교원의 연구활동 및 성과,5.3,연구성과,checkpoints;evidence;notes;overview;report,통합 (N:1);통합·이동 (N:1),16,json_group_membership_unverified,0.571,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_3_5__c3_3_5,3.5,직원 확보 및 인사,3.5,직원 확보 및 인사,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1);유지·확장 (1:1),17,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_3_6__c3_3_6,3.6,직원 복지 및 업무 역량 개발,3.6,직원 복지 및 업무 역량 개발 지원,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1),18,json_group_membership_unverified;same_criterion_number,0.887,false,candidate,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_4_1__c3_4_1,4.1,장학 제도 및 학생 자치활동 지원,4.1,장학 제도 및 학생자치활동 지원,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1),19,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_4_2__c3_4_2,4.2,학생 심리상담 및 권익 보호,4.2,학생 심리 및 진로 상담,checkpoints;evidence;notes;overview;report,통합 (N:1);통합·분리 (N:1),20,json_group_membership_unverified;same_criterion_number,0.600,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_4_2__c3_4_3,4.2,학생 심리상담 및 권익 보호,4.3,학생 권익 보호 및 소수집단학생 지원,checkpoints;evidence;notes;overview;report,통합 (N:1);통합·분리 (N:1),20,json_group_membership_unverified,0.462,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_4_3__c3_4_2,4.3,진로 및 취·창업 지원,4.2,학생 심리 및 진로 상담,notes;overview;report,통합·이동 (N:1),21,json_group_membership_unverified,0.235,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_4_3__c3_5_4,4.3,진로 및 취·창업 지원,5.4,취·창업지원 및 성과,checkpoints;evidence;notes;overview;report,이동·변경됨 (1:1);이동·확장 (1:1);통합·이동 (N:1),21,json_group_membership_unverified,0.625,true,needs_review,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_4_4__c3_4_4,4.4,교육 시설,4.4,교육시설,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1);유지·확장 (1:1),22,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_4_5__c3_4_5,4.5,기숙사 및 학생 복지시설,4.5,기숙사 및 학생 복지시설,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1);유지·확장 (1:1),23,json_group_membership_unverified;near_exact_title_match;same_criterion_number,0.933,false,candidate,,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
map__c4_4_6__c3_4_6,4.6,도서관,4.6,도서관,checkpoints;evidence;notes;overview;report,변경됨 (1:1);유지 (1:1),24,json_group_membership_unverified;near_exact_title_match;same_criterion_number,1.000,false,confirmed,same_criterion_number_and_near_exact_title,raw_mapping_types/raw_group_ids are AI metadata and were not user-verified.
