checklist_id,action_id,change_id,cycle4_criterion,cycle4_title,section_type,field_or_focus,primary_department,support_departments,data_period,metric_or_threshold,evidence_link,official_confirmation_needed,preparation_task
evidence_00016,act_00016,chg_00018,3.1,교원 확보 및 구성,overview,증빙,교무처,교원인사 담당부서,,,c4__3_1__overview__content,true,편람 개요 항목 검토 및 준비: 대학은 교원 임용정책과 규정에 따라 합리적인 절차를 통하여 일정 규모 이상의 교원을 확보하여 관리하고 있다.
evidence_00019,act_00019,chg_00026,4.2,학생 심리상담 및 권익 보호,overview,증빙,학생상담센터,인권센터;장애학생지원센터,,,c4__4_2__overview__content,true,"편람 개요 항목 검토 및 준비: 대학은 학생이 대학 생활에 적응할 수 있도록 예산과 전문 인력을 확보한 학생상담 체계를 구축하고 심리상담을 진행하고 있으며, 개선을 위하여 지속적으로 노력하고 있다. 그리고 대학은 학생의 권익을 보호하기 위한 규정과 체계를 구축하여 운영하고 있다. 또한 대학의 배려가 필요한 소수집단학생 지원을 위한 규정과 체계를 갖추고 다양한 시설과 지원 프로그램을 마련하여 효율적으로 운영하고 있다."
evidence_00023,act_00023,chg_00036,1.1,교육목표 및 발전계획,evidence,증빙,기획처,교무처,,,c4__1_1__evidence__제출자료_첨부:002,true,근거자료 항목 검토 및 준비: 대학 중장기 발전계획서
evidence_00024,act_00024,chg_00037,1.1,교육목표 및 발전계획,evidence,증빙,기획처,교무처,,,c4__1_1__evidence__현지확인자료:001,true,근거자료 항목 검토 및 준비: 대학 중장기 발전계획 수립을 위한 구성원 의견 수렴 자료: 현재 발전계획 수립 당시
evidence_00025,act_00025,chg_00042,1.1,교육목표 및 발전계획,evidence,증빙,기획처,교무처,,,c3__1_1__evidence__현지확인자료:001,true,근거자료 항목 검토 및 준비: 학생학습성과 관리 및 운영 체계 관련 자료
evidence_00026,act_00026,chg_00043,1.1,교육목표 및 발전계획,evidence,실적기간;증빙,기획처,교무처,최근 3년;3년 자료,3년,c3__1_2__evidence__현지확인자료:003,true,근거자료 항목 검토 및 준비: 발전계획 평가결과와 반영 실적: 최근 3년 자료
evidence_00027,act_00027,chg_00044,1.1,교육목표 및 발전계획,evidence,면담;증빙,기획처,교무처,,,c3__1_2__evidence__현지면담:001,true,근거자료 항목 검토 및 준비: 기획처장
evidence_00028,act_00028,chg_00046,1.2,거버넌스와 감사,evidence,증빙,기획처,감사부서,,,c4__1_2__evidence__제출자료_관련규정:002,true,근거자료 항목 검토 및 준비: 공익제보 및 공익제보자 보호 제도 관련 규정
evidence_00029,act_00029,chg_00048,1.2,거버넌스와 감사,evidence,실적기간;증빙,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:002,true,근거자료 항목 검토 및 준비: 대학 구성원 참여 및 소통 체계 자료: 최근 3년 자료
evidence_00030,act_00030,chg_00049,1.2,거버넌스와 감사,evidence,실적기간;증빙,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:003,true,근거자료 항목 검토 및 준비: 대학 구성원 참여 및 소통 추진 실적 과 환류 실적 자료: 최근 3년 자료
evidence_00031,act_00031,chg_00050,1.2,거버넌스와 감사,evidence,실적기간;증빙,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:004,true,"근거자료 항목 검토 및 준비: 내·외부(교육부, 감사원 등) 감사보고서: 최근 3년 자료"
evidence_00032,act_00032,chg_00053,1.2,거버넌스와 감사,evidence,실적기간;증빙,기획처,감사부서,최근 3년;3년 자료,3년,c4__1_2__evidence__현지확인자료:007,true,근거자료 항목 검토 및 준비: 공익제보 절차 및 공익제보자 보호 제도 구축·운영 자료: 최근 3년 자료
evidence_00033,act_00033,chg_00065,1.3,재정 확보 및 집행,evidence,증빙,기획처,재무회계팀,,,c3__1_5__evidence__정보공시:001,true,근거자료 항목 검토 및 준비: 8. 예・결산 내역 등 학교 및 법인의 회계에 관한 사항
evidence_00034,act_00034,chg_00066,1.3,재정 확보 및 집행,evidence,증빙,기획처,재무회계팀,,,c3__1_5__evidence__현지확인자료:001,true,근거자료 항목 검토 및 준비: 중장기 재정 운영 계획서
evidence_00035,act_00035,chg_00067,1.3,재정 확보 및 집행,evidence,실적기간;증빙,기획처,재무회계팀,최근 3년;3년 자료,3년,c3__1_5__evidence__현지확인자료:002,true,근거자료 항목 검토 및 준비: 예・결산보고서: 최근 3년 자료
evidence_00036,act_00036,chg_00068,1.3,재정 확보 및 집행,evidence,면담;증빙,기획처,재무회계팀,,,c3__1_5__evidence__현지면담:001,true,근거자료 항목 검토 및 준비: 기획처장
evidence_00037,act_00037,chg_00069,1.4,성과관리체계 구축 및 운영,evidence,증빙,기획처,성과관리 담당부서,,,c4__1_4__evidence__정보공시:001,true,근거자료 항목 검토 및 준비: 11-가. 학교 발전계획 및 특성화계획
evidence_00038,act_00038,chg_00071,1.4,성과관리체계 구축 및 운영,evidence,증빙,기획처,성과관리 담당부서,,,c4__1_4__evidence__제출자료_관련규정:001,true,근거자료 항목 검토 및 준비: 대학 성과관리 관련 규정
evidence_00039,act_00039,chg_00072,1.4,성과관리체계 구축 및 운영,evidence,증빙,기획처,성과관리 담당부서,,,c4__1_4__evidence__제출자료_관련규정:002,true,근거자료 항목 검토 및 준비: 대학 자체평가 관련 규정
evidence_00040,act_00040,chg_00073,1.4,성과관리체계 구축 및 운영,evidence,증빙,기획처,성과관리 담당부서,,,c4__1_4__evidence__제출자료_첨부:001,true,근거자료 항목 검토 및 준비: 대학 중장기 발전계획서
evidence_00041,act_00041,chg_00075,1.4,성과관리체계 구축 및 운영,evidence,실적기간;증빙,기획처,성과관리 담당부서,최근 3년;3년 자료,3년,c4__1_4__evidence__현지확인자료:001,true,근거자료 항목 검토 및 준비: 대학 중장기 발전계획 성과평가 결과와 환류 실적: 최근 3년 자료
evidence_00042,act_00042,chg_00076,1.4,성과관리체계 구축 및 운영,evidence,실적기간;증빙,기획처,성과관리 담당부서,최근 3년;3년 자료,3년,c4__1_4__evidence__현지확인자료:002,true,근거자료 항목 검토 및 준비: 대학 자체평가 결과와 반영 자료: 최근 3년 자료
evidence_00043,act_00043,chg_00077,1.4,성과관리체계 구축 및 운영,evidence,면담;증빙,기획처,성과관리 담당부서,,,c4__1_4__evidence__현지면담:001,true,근거자료 항목 검토 및 준비: 기획처장
evidence_00044,act_00044,chg_00078,1.4,성과관리체계 구축 및 운영,evidence,면담;증빙,기획처,성과관리 담당부서,,,c4__1_4__evidence__현지면담:002,true,"근거자료 항목 검토 및 준비: 대학 발전계획 담당자, 대학 자체평가 담당자"
evidence_00045,act_00045,chg_00079,1.4,성과관리체계 구축 및 운영,evidence,실적기간;증빙,기획처,성과관리 담당부서,최근 3년;3년 자료,3년,c3__5_1__evidence__현지확인자료:002,true,"근거자료 항목 검토 및 준비: 교육만족도 조사 관련 자료(설문지, 분석 결과, 결과 반영 등): 최근 3년 자료"
evidence_00046,act_00046,chg_00080,1.4,성과관리체계 구축 및 운영,evidence,면담;증빙,기획처,성과관리 담당부서,,,c3__5_1__evidence__현지면담:001,true,"근거자료 항목 검토 및 준비: 기획처장, 교육만족도조사 담당자"
evidence_00047,act_00047,chg_00081,1.4,성과관리체계 구축 및 운영,evidence,기준값/정량;면담;증빙,기획처,성과관리 담당부서,,10명,c3__5_1__evidence__현지면담:002,true,"근거자료 항목 검토 및 준비: 학생 1 인원: 10명 내외 2 표집: 계열별, 학년별, 성별에 따라 고르게 분포"
evidence_00048,act_00048,chg_00082,1.5,교육성과,evidence,증빙,기획처,교무처;교육혁신원;취·창업지원부서,,,c4__1_5__evidence__정보공시:001,true,근거자료 항목 검토 및 준비: 4-라. 학생 충원 현황
evidence_00049,act_00049,chg_00083,1.5,교육성과,evidence,증빙,기획처,교무처;교육혁신원;취·창업지원부서,,,c4__1_5__evidence__정보공시:002,true,근거자료 항목 검토 및 준비: 5-다. 졸업생의 취업 현황
evidence_00050,act_00050,chg_00084,1.5,교육성과,evidence,증빙,기획처,교무처;교육혁신원;취·창업지원부서,,,c4__1_5__evidence__제출자료_관련규정:001,true,근거자료 항목 검토 및 준비: 교육만족도 조사 관련 규정
evidence_00051,act_00051,chg_00085,1.5,교육성과,evidence,실적기간;증빙,기획처,교무처;교육혁신원;취·창업지원부서,최근 3년;3년 자료,3년,c4__1_5__evidence__현지확인자료:001,true,근거자료 항목 검토 및 준비: 학생학습성과 관리 및 운영 체계 관련 자료: 최근 3년 자료
evidence_00052,act_00052,chg_00086,1.5,교육성과,evidence,실적기간;증빙,기획처,교무처;교육혁신원;취·창업지원부서,최근 3년;3년 자료,3년,c4__1_5__evidence__현지확인자료:002,true,"근거자료 항목 검토 및 준비: 교육 만족도 조사 관련 자료(설문지, 분석 결과, 환류 실적 등): 최근 3년 자료"
evidence_00053,act_00053,chg_00087,1.5,교육성과,evidence,면담;증빙,기획처,교무처;교육혁신원;취·창업지원부서,,,c4__1_5__evidence__현지면담:001,true,"근거자료 항목 검토 및 준비: 기획처장, 교무처장, 교육혁신원장, 취·창업지원처(센터)장"
evidence_00054,act_00054,chg_00088,1.5,교육성과,evidence,면담;증빙,기획처,교무처;교육혁신원;취·창업지원부서,,,c4__1_5__evidence__현지면담:002,true,"근거자료 항목 검토 및 준비: 취·창업지원 관련 업무 담당자, 학생역량 담당자, 교육 만족도 조사 담당자"
evidence_00055,act_00055,chg_00089,1.5,교육성과,evidence,기준값/정량;면담;증빙,기획처,교무처;교육혁신원;취·창업지원부서,,10명,c4__1_5__evidence__현지면담:003,true,"근거자료 항목 검토 및 준비: 학생 1 인원: 10명 내외 2 표집: 계열별, 학년별, 성별에 따라 고르게 분포"
evidence_00056,act_00056,chg_00090,1.5,교육성과,evidence,증빙,기획처,교무처;교육혁신원;취·창업지원부서,,,c3__5_2__evidence__정보공시:001,true,근거자료 항목 검토 및 준비: 4-다. 신입생 충원 현황
evidence_00057,act_00057,chg_00091,1.5,교육성과,evidence,실적기간;증빙,기획처,교무처;교육혁신원;취·창업지원부서,최근 3년;3년 자료,3년,c3__5_2__evidence__현지확인자료:001,true,근거자료 항목 검토 및 준비: 신입생실태조사보고서(또는 재학생실태조사보고서): 최근 3년 자료
evidence_00058,act_00058,chg_00096,1.6,사회공헌 및 지역사회 연계·협력,evidence,증빙,사회공헌 담당부서,지역협력부서;산학협력단,,,c4__1_6__evidence__제출자료_관련규정:002,true,근거자료 항목 검토 및 준비: 사회봉사 교과목 운영 관련 근거 규정
evidence_00059,act_00059,chg_00097,1.6,사회공헌 및 지역사회 연계·협력,evidence,증빙,사회공헌 담당부서,지역협력부서;산학협력단,,,c4__1_6__evidence__제출자료_관련규정:003,true,근거자료 항목 검토 및 준비: 지역사회 및 지역대학 연계·협력 관련 근거 규정
evidence_00060,act_00060,chg_00100,1.6,사회공헌 및 지역사회 연계·협력,evidence,실적기간;증빙,사회공헌 담당부서,지역협력부서;산학협력단,최근 3년;3년 자료,3년,c4__1_6__evidence__현지확인자료:001,true,근거자료 항목 검토 및 준비: 사회봉사 연간 계획: 최근 3년 자료
evidence_00061,act_00061,chg_00101,1.6,사회공헌 및 지역사회 연계·협력,evidence,실적기간;증빙,사회공헌 담당부서,지역협력부서;산학협력단,최근 3년;3년 자료,3년,c4__1_6__evidence__현지확인자료:002,true,근거자료 항목 검토 및 준비: 사회봉사 활동 증빙자료: 최근 3년 자료
evidence_00062,act_00062,chg_00102,1.6,사회공헌 및 지역사회 연계·협력,evidence,실적기간;증빙,사회공헌 담당부서,지역협력부서;산학협력단,최근 3년;3년 자료,3년,c4__1_6__evidence__현지확인자료:003,true,근거자료 항목 검토 및 준비: 사회봉사 지원 관련 자료: 최근 3년 자료
evidence_00063,act_00063,chg_00103,1.6,사회공헌 및 지역사회 연계·협력,evidence,실적기간;증빙,사회공헌 담당부서,지역협력부서;산학협력단,최근 3년;3년 자료,3년,c4__1_6__evidence__현지확인자료:004,true,근거자료 항목 검토 및 준비: 지역사회 및 지역대학과의 인적·물적 공유 및 연계·협력 관련 실적 자료: 최근 3년 자료
evidence_00064,act_00064,chg_00106,1.6,사회공헌 및 지역사회 연계·협력,evidence,면담;증빙,사회공헌 담당부서,지역협력부서;산학협력단,,,c4__1_6__evidence__현지면담:002,true,"근거자료 항목 검토 및 준비: 사회봉사단(센터)장, 사회봉사 업무 담당자, 사회봉사 교과목 담당 교수"
evidence_00065,act_00065,chg_00107,1.6,사회공헌 및 지역사회 연계·협력,evidence,면담;증빙,사회공헌 담당부서,지역협력부서;산학협력단,,,c4__1_6__evidence__현지면담:003,true,근거자료 항목 검토 및 준비: 지역대학 및 지역사회 연계·협력 부서장 및 담당자
evidence_00066,act_00066,chg_00108,1.6,사회공헌 및 지역사회 연계·협력,evidence,기준값/정량;면담;증빙,사회공헌 담당부서,지역협력부서;산학협력단,,10명,c3__5_5__evidence__현지면담:002,true,"근거자료 항목 검토 및 준비: 학생 1 인원: 10명 내외 2 표집: 계열별, 학년별, 성별에 따라 고르게 분포"
evidence_00067,act_00067,chg_00109,1.6,사회공헌 및 지역사회 연계·협력,evidence,실적기간;증빙,사회공헌 담당부서,지역협력부서;산학협력단,최근 3년;3년 자료,3년,c3__5_6__evidence__제출자료_첨부:001,true,근거자료 항목 검토 및 준비: 지역대학과의 공유 추진체계: 최근 3년 자료
evidence_00068,act_00068,chg_00110,1.6,사회공헌 및 지역사회 연계·협력,evidence,증빙,사회공헌 담당부서,지역협력부서;산학협력단,,,c3__5_6__evidence__제출자료_첨부:001.sub:001,true,"근거자료 항목 검토 및 준비: 근거 규정, 조직, 예산 등"
evidence_00069,act_00069,chg_00111,1.6,사회공헌 및 지역사회 연계·협력,evidence,실적기간;증빙,사회공헌 담당부서,지역협력부서;산학협력단,최근 3년;3년 자료,3년,c3__5_6__evidence__제출자료_첨부:002,true,근거자료 항목 검토 및 준비: 지역사회 연계・협력 추진체계: 최근 3년 자료
evidence_00070,act_00070,chg_00112,1.6,사회공헌 및 지역사회 연계·협력,evidence,증빙,사회공헌 담당부서,지역협력부서;산학협력단,,,c3__5_6__evidence__제출자료_첨부:002.sub:001,true,"근거자료 항목 검토 및 준비: 근거 규정, 조직, 예산 등"
evidence_00071,act_00071,chg_00130,2.2,교양교육과정,evidence,산식/기준산정;실적기간;증빙,교무처,교육과정 담당부서,최근 1년,1년;평균,c3__2_2__evidence__현지확인자료:002,true,"근거자료 항목 검토 및 준비: 교양과목별 평균 수강학생수(DB 대체 가능): 최근 1년 1, 2학기별 자료"
evidence_00072,act_00072,chg_00131,2.2,교양교육과정,evidence,산식/기준산정;실적기간;증빙,교무처,교육과정 담당부서,최근 1년,1년;평균,c3__2_2__evidence__현지확인자료:003,true,"근거자료 항목 검토 및 준비: 전임교원의 평균 강의 시수(전공 및 교양 강의 실제 강의 시수 데이터 엑셀파일): 최근 1년 1, 2학기별 자료"
evidence_00073,act_00073,chg_00132,2.2,교양교육과정,evidence,증빙,교무처,교육과정 담당부서,,,c3__2_2__evidence__현지확인자료:004,true,근거자료 항목 검토 및 준비: 비교과과정 구성 현황
evidence_00074,act_00074,chg_00134,2.3,전공교육과정,evidence,증빙,교무처,교육과정 담당부서,,,c4__2_3__evidence__제출자료_관련규정:002,true,"근거자료 항목 검토 및 준비: 부·복수·다전공·기타전공(융합, 연계, 자율전공 등) 및 소단위 전공 제도 운영 관련 규정"
evidence_00075,act_00075,chg_00137,2.3,전공교육과정,evidence,증빙,교무처,교육과정 담당부서,,,c4__2_3__evidence__현지확인자료:002,true,근거자료 항목 검토 및 준비: 전공실험·실습·실기·설계 과목 수업자료 및 수업계획서(계열을 고려하여 3∼4개)
evidence_00076,act_00076,chg_00138,2.3,전공교육과정,evidence,증빙,교무처,교육과정 담당부서,,,c4__2_3__evidence__현지확인자료:003,true,근거자료 항목 검토 및 준비: 전공실험·실습·실기·설계 수업 조교 현황
evidence_00077,act_00077,chg_00139,2.3,전공교육과정,evidence,증빙,교무처,교육과정 담당부서,,,c4__2_3__evidence__현지확인자료:004,true,"근거자료 항목 검토 및 준비: 수업 조교 업무분장표, 인사발령사항"
evidence_00078,act_00078,chg_00140,2.3,전공교육과정,evidence,증빙,교무처,교육과정 담당부서,,,c4__2_3__evidence__현지확인자료:005,true,근거자료 항목 검토 및 준비: 수업 조교별 담당 교과목 현황
evidence_00079,act_00079,chg_00141,2.3,전공교육과정,evidence,증빙,교무처,교육과정 담당부서,,,c4__2_3__evidence__현지확인자료:006,true,"근거자료 항목 검토 및 준비: 부·복수·다전공·기타전공(융합, 연계, 자율전공 등) 연도별이수 현황"
evidence_00080,act_00080,chg_00142,2.3,전공교육과정,evidence,증빙,교무처,교육과정 담당부서,,,c4__2_3__evidence__현지확인자료:007,true,근거자료 항목 검토 및 준비: 소단위 전공 연도별 이수 현황
evidence_00081,act_00081,chg_00146,2.3,전공교육과정,evidence,증빙,교무처,교육과정 담당부서,,,c3__2_3__evidence__현지확인자료:004,true,근거자료 항목 검토 및 준비: 전공 비교과과정 구성 현황
evidence_00082,act_00082,chg_00154,2.5,수업,evidence,증빙,교무처,교육과정 담당부서,,,c4__2_5__evidence__정보공시:001,true,근거자료 항목 검토 및 준비: 6-가-1. 전체 교원 대비 전임교원 현황
evidence_00083,act_00083,chg_00155,2.5,수업,evidence,산식/기준산정;증빙,교무처,교육과정 담당부서,,비율,c4__2_5__evidence__정보공시:002,true,근거자료 항목 검토 및 준비: 12-나-2. 교원 강의 담당 비율
evidence_00084,act_00084,chg_00157,2.5,수업,evidence,증빙,교무처,교육과정 담당부서,,,c4__2_5__evidence__제출자료_관련규정:002,true,근거자료 항목 검토 및 준비: 전임교원 강의담당 관련 규정
evidence_00085,act_00085,chg_00158,2.5,수업,evidence,증빙,교무처,교육과정 담당부서,,,c4__2_5__evidence__제출자료_관련규정:003,true,근거자료 항목 검토 및 준비: 원격 수업 관련 규정
evidence_00086,act_00086,chg_00173,3.1,교원 확보 및 구성,evidence,증빙,교무처,교원인사 담당부서,,,c4__3_1__evidence__정보공시:001,true,근거자료 항목 검토 및 준비: 6-가. 전체 교원 대비 전임교원 현황
evidence_00087,act_00087,chg_00177,3.1,교원 확보 및 구성,evidence,실적기간;증빙,교무처,교원인사 담당부서,최근 3년;3년 자료,3년,c4__3_1__evidence__현지확인자료:001,true,"근거자료 항목 검토 및 준비: 교원 임용 관련 문서(공고문, 관련 결재 서류, 회의자료 등): 최근 3년 자료"
evidence_00088,act_00088,chg_00178,3.1,교원 확보 및 구성,evidence,실적기간;증빙,교무처,교원인사 담당부서,최근 3년;3년 자료,3년,c4__3_1__evidence__현지확인자료:002,true,"근거자료 항목 검토 및 준비: 교원 임용정책 관련 문서(규정, 공문서 등): 최근 3년 자료"
evidence_00089,act_00089,chg_00179,3.1,교원 확보 및 구성,evidence,실적기간;증빙,교무처,교원인사 담당부서,최근 3년;3년 자료,3년,c4__3_1__evidence__현지확인자료:003,true,"근거자료 항목 검토 및 준비: 교원의 유형별 담당 업무 관련 자료(교육, 연구,수업 운영 등): 최근 3년 자료"
evidence_00090,act_00090,chg_00180,3.1,교원 확보 및 구성,evidence,증빙,교무처,교원인사 담당부서,,,c4__3_1__evidence__현지확인자료:004,true,근거자료 항목 검토 및 준비: 전임교원 정년/비정년 교원 목록 및 관련 증빙
evidence_00091,act_00091,chg_00181,3.1,교원 확보 및 구성,evidence,면담;실적기간;증빙,교무처,교원인사 담당부서,최근 3년,3년,c4__3_1__evidence__현지면담:001,true,"근거자료 항목 검토 및 준비: 최근 3년 이내 임용 교수, 특별임용 교수, 유형별 전임교원, 겸임 및 초빙교원 등"
evidence_00092,act_00092,chg_00185,3.2,교원 인사 및 업적평가,evidence,실적기간;증빙,교무처,교원인사 담당부서,최근 3년;3년 자료,3년,c4__3_2__evidence__현지확인자료:002,true,근거자료 항목 검토 및 준비: 교원업적평가 실시 및 결과 활용 관련 문서: 최근 3년 자료
evidence_00093,act_00093,chg_00194,3.3,교원 처우 및 복지,evidence,실적기간;증빙,교무처,교원인사 담당부서,최근 3년;3년 자료,3년,c4__3_3__evidence__현지확인자료:002,true,근거자료 항목 검토 및 준비: 교원 복지제도 운영 실적: 최근 3년 자료
evidence_00094,act_00094,chg_00200,3.4,교원의 연구활동 및 성과,evidence,증빙,연구처,교무처,,,c4__3_4__evidence__정보공시:001,true,근거자료 항목 검토 및 준비: 7-가. 전임교원의 연구 실적
evidence_00095,act_00095,chg_00201,3.4,교원의 연구활동 및 성과,evidence,증빙,연구처,교무처,,,c4__3_4__evidence__정보공시:002,true,근거자료 항목 검토 및 준비: 12-가. 연구비 수혜 실적
evidence_00096,act_00096,chg_00202,3.4,교원의 연구활동 및 성과,evidence,증빙,연구처,교무처,,,c4__3_4__evidence__제출자료_관련규정:001,true,근거자료 항목 검토 및 준비: 교원의 연구비 지급 관련 규정
